NDVI,GNDVI,SAVI,RVI,EVI,label,label_str
0.8077081,0.7082526,0.5982992,9.400853,0.675444,1,Sehat
0.7823762,0.69376934,0.5426836,8.190171,0.6044114,1,Sehat
0.62587285,0.5022072,0.48927414,4.345776,0.63654035,1,Sehat
0.76205945,0.66116863,0.5081102,7.405462,0.5627122,1,Sehat
0.6762943,0.5758197,0.42941177,5.178451,0.47611734,1,Sehat
0.6845019,0.5694027,0.47686377,5.3391814,0.55691075,1,Sehat
0.7554723,0.63189733,0.5705987,7.1790323,0.69980276,1,Sehat
0.77967626,0.6682824,0.55059266,8.077551,0.65271395,1,Sehat
0.7388913,0.63023216,0.53855646,6.659643,0.6272228,1,Sehat
0.6751516,0.61354345,0.5038191,5.156717,0.5557958,1,Sehat
0.7785714,0.66927373,0.29371256,8.032258,0.28753573,1,Sehat
0.7635335,0.6670061,0.48806378,7.4578586,0.53028315,1,Sehat
0.689418,0.5909317,0.4452164,5.439523,0.4747677,1,Sehat
0.78572756,0.6755245,0.61015725,8.333913,0.7134398,1,Sehat
0.75372356,0.6207833,0.5518071,7.1209545,0.6671246,1,Sehat
0.74674314,0.64474976,0.48642227,6.8971195,0.52662534,1,Sehat
0.773231,0.62754303,0.561494,7.819549,0.6708828,1,Sehat
0.7675016,0.68180895,0.55604386,7.6022105,0.63627005,1,Sehat
0.69191366,0.6258791,0.54204094,5.4916863,0.6754295,1,Sehat
0.7631928,0.67001075,0.588364,7.445687,0.71748644,1,Sehat
0.5737031,0.5470841,0.37677085,3.6915665,0.40038714,1,Sehat
0.68583167,0.6277571,0.4505396,5.366013,0.48149344,1,Sehat
0.5888377,0.5767276,0.3873793,3.8642588,0.4081343,1,Sehat
0.8109091,0.6949757,0.65192574,9.576922,0.8310558,1,Sehat
0.6831228,0.5943447,0.42079204,5.311594,0.4653345,1,Sehat
0.74475276,0.6556777,0.5063423,6.835539,0.583113,1,Sehat
0.7267144,0.6272004,0.47822177,6.318352,0.56436545,1,Sehat
0.5437547,0.5058366,0.36305624,3.3836064,0.41233408,1,Sehat
0.604282,0.51481354,0.47139564,4.0541043,0.6793659,1,Sehat
0.5338312,0.48705575,0.3756768,3.2902913,0.41710874,1,Sehat
0.6516129,0.57377046,0.47098446,4.740741,0.5287036,1,Sehat
0.564326,0.54375315,0.37104023,3.5905883,0.40059674,1,Sehat
0.61107296,0.56628114,0.42754242,4.142353,0.47744173,1,Sehat
0.6388374,0.53238237,0.47188103,4.537671,0.55985117,1,Sehat
0.7686233,0.67427766,0.5577181,7.6439114,0.65867937,1,Sehat
0.72104025,0.65538156,0.46752584,6.1694913,0.5160939,1,Sehat
0.6954252,0.64443123,0.41146904,5.566532,0.42793986,1,Sehat
0.71857923,0.6334126,0.50404596,6.1067963,0.5531214,1,Sehat
0.6956826,0.6018519,0.4815832,5.572086,0.55224156,1,Sehat
0.5539066,0.4220092,0.3973075,3.483366,0.7283058,1,Sehat
0.5133454,0.5051546,0.3354216,3.1096911,0.3598808,1,Sehat
